Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
Glen Rice;78; 6-6;206;1,9812;93,42403628
Glen Rice;79; 6-7;215;2,0066;97,50566893
Glenn Hagan;72; 6-0;170;1,8288;77,09750567
Glenn Hansen;76; 6-4;205;1,9304;92,97052154
Glenn McDonald;78; 6-6;190;1,9812;86,16780045
Glenn Mosley;80; 6-8;195;2,032;88,43537415
Glenn Robinson;79; 6-7;225;2,0066;102,0408163
God Shammgod;72; 6-0;169;1,8288;76,64399093
Goo Kennedy;77; 6-5;205;1,9558;92,97052154
Goran Dragic;76; 6-4;180;1,9304;81,63265306
Gordan Giricek;78; 6-6;210;1,9812;95,23809524
Gordon Hayward;80; 6-8;207;2,032;93,87755102
Gorgui Dieng;83; 6-11;245;2,1082;111,1111111
Grady O'Malley;77; 6-5;205;1,9558;92,97052154
Grant Gondrezick;77; 6-5;205;1,9558;92,97052154
Grant Hill;80; 6-8;225;2,032;102,0408163
Grant Long;80; 6-8;225;2,032;102,0408163
Granville Waiters;83; 6-11;225;2,1082;102,0408163
Greg Anderson;82; 6-10;230;2,0828;104,30839
Greg Anthony;72; 6-0;176;1,8288;79,8185941
Greg Ballard;79; 6-7;215;2,0066;97,50566893
Greg Buckner;76; 6-4;210;1,9304;95,23809524
Greg Bunch;78; 6-6;190;1,9812;86,16780045
Greg Butler;83; 6-11;240;2,1082;108,8435374
Greg Deane;76; 6-4;190;1,9304;86,16780045
Greg Dreiling;85; 7-1;250;2,159;113,3786848
Greg Fillmore;85; 7-1;240;2,159;108,8435374
Greg Foster;83; 6-11;240;2,1082;108,8435374
Greg Graham;76; 6-4;174;1,9304;78,91156463
Greg Grant;67; 5-7;140;1,7018;63,49206349
Greg Griffin;79; 6-7;190;2,0066;86,16780045
Greg Howard;81; 6-9;215;2,0574;97,50566893
Greg Hyder;78; 6-6;215;1,9812;97,50566893
Greg Jackson;72; 6-0;180;1,8288;81,63265306
Greg Kelser;79; 6-7;190;2,0066;86,16780045
Greg Kite;83; 6-11;250;2,1082;113,3786848
Greg Lee;75; 6-3;190;1,905;86,16780045
Greg Minor;78; 6-6;210;1,9812;95,23809524
Greg Monroe;83; 6-11;253;2,1082;114,739229
Greg Oden;84; 7-0;250;2,1336;113,3786848
Greg Ostertag;86; 7-2;280;2,1844;126,984127
Greg Smith;77; 6-5;195;1,9558;88,43537415
Greg Smith;82; 6-10;250;2,0828;113,3786848
Greg Stiemsma;83; 6-11;260;2,1082;117,9138322
Greg Stokes;82; 6-10;220;2,0828;99,77324263
Greg Sutton;74; 6-2;170;1,8796;77,09750567
Greivis Vasquez;78; 6-6;200;1,9812;90,70294785
Guillermo Diaz;74; 6-2;192;1,8796;87,07482993
Gundars Vetra;78; 6-6;195;1,9812;88,43537415
Gus Bailey;77; 6-5;185;1,9558;83,90022676
Gus Gerard;80; 6-8;200;2,032;90,70294785
Gus Johnson;78; 6-6;230;1,9812;104,30839
Gus Williams;74; 6-2;175;1,8796;79,36507937
Gustavo Ayon;82; 6-10;250;2,0828;113,3786848
Guy Morgan;80; 6-8;205;2,032;92,97052154
Guy Rodgers;72; 6-0;185;1,8288;83,90022676
Guy Rucker;83; 6-11;265;2,1082;120,1814059
Guy Sparrow;78; 6-6;218;1,9812;98,86621315
Guy Williams;81; 6-9;200;2,0574;90,70294785
Ha Seung-Jin;87; 7-3;305;2,2098;138,3219955
Hakeem Olajuwon;84; 7-0;255;2,1336;115,6462585
Hakim Warrick;81; 6-9;219;2,0574;99,31972789
Hal Greer;74; 6-2;175;1,8796;79,36507937
Hal Lear;72; 6-0;163;1,8288;73,92290249
Hamady N'Diaye;84; 7-0;235;2,1336;106,5759637
