Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
Kentavious Caldwell-Pope;77; 6-5;205;1,9558;92,97052154
Kenyon Martin;81; 6-9;234;2,0574;106,122449
Keon Clark;83; 6-11;220;2,1082;99,77324263
Kermit Washington;80; 6-8;230;2,032;104,30839
Kerry Kittles;77; 6-5;179;1,9558;81,17913832
Kevin Brooks;78; 6-6;200;1,9812;90,70294785
Kevin Burleson;75; 6-3;205;1,905;92,97052154
Kevin Duckworth;84; 7-0;275;2,1336;124,7165533
Kevin Durant;81; 6-9;215;2,0574;97,50566893
Kevin Edwards;75; 6-3;190;1,905;86,16780045
Kevin Gamble;77; 6-5;210;1,9558;95,23809524
Kevin Garnett;83; 6-11;220;2,1082;99,77324263
Kevin Grevey;77; 6-5;210;1,9558;95,23809524
Kevin Henderson;76; 6-4;195;1,9304;88,43537415
Kevin Johnson;73; 6-1;180;1,8542;81,63265306
Kevin Jones;80; 6-8;251;2,032;113,8321995
Kevin Kunnert;84; 7-0;230;2,1336;104,30839
Kevin Loder;78; 6-6;205;1,9812;92,97052154
Kevin Loughery;75; 6-3;190;1,905;86,16780045
Kevin Love;82; 6-10;260;2,0828;117,9138322
Kevin Lynch;77; 6-5;195;1,9558;88,43537415
Kevin Martin;79; 6-7;185;2,0066;83,90022676
Kevin McHale;82; 6-10;210;2,0828;95,23809524
Kevin McKenna;77; 6-5;195;1,9558;88,43537415
Kevin Murphy;78; 6-6;185;1,9812;83,90022676
Kevin Ollie;76; 6-4;195;1,9304;88,43537415
Kevin Porter;72; 6-0;170;1,8288;77,09750567
Kevin Pritchard;75; 6-3;180;1,905;81,63265306
Kevin Restani;81; 6-9;225;2,0574;102,0408163
Kevin Salvadori;84; 7-0;231;2,1336;104,7619048
Kevin Seraphin;81; 6-9;264;2,0574;119,7278912
Kevin Stacom;75; 6-3;185;1,905;83,90022676
Kevin Thompson;83; 6-11;260;2,1082;117,9138322
Kevin Williams;74; 6-2;175;1,8796;79,36507937
Kevin Willis;84; 7-0;220;2,1336;99,77324263
Kevinn Pinkney;82; 6-10;245;2,0828;111,1111111
Keyon Dooling;75; 6-3;196;1,905;88,88888889
Khalid El-Amin;70; 5-10;200;1,778;90,70294785
Khalid Reeves;75; 6-3;199;1,905;90,24943311
Khris Middleton;79; 6-7;215;2,0066;97,50566893
Kiki Vandeweghe;80; 6-8;220;2,032;99,77324263
Kim Anderson;79; 6-7;200;2,0066;90,70294785
Kim English;78; 6-6;200;1,9812;90,70294785
Kim Hughes;83; 6-11;220;2,1082;99,77324263
Kirk Haston;81; 6-9;242;2,0574;109,7505669
Kirk Hinrich;75; 6-3;190;1,905;86,16780045
Kirk Penney;77; 6-5;220;1,9558;99,77324263
Kirk Snyder;78; 6-6;225;1,9812;102,0408163
Kiwane Garris;74; 6-2;183;1,8796;82,99319728
Klay Thompson;79; 6-7;205;2,0066;92,97052154
Kobe Bryant;78; 6-6;200;1,9812;90,70294785
Korleone Young;79; 6-7;213;2,0066;96,59863946
Kornel David;81; 6-9;235;2,0574;106,5759637
Kosta Koufos;84; 7-0;265;2,1336;120,1814059
Kosta Perovic;86; 7-2;240;2,1844;108,8435374
Kris Humphries;81; 6-9;235;2,0574;106,5759637
Kris Joseph;79; 6-7;210;2,0066;95,23809524
Kurk Lee;75; 6-3;190;1,905;86,16780045
Kurt Nimphius;82; 6-10;218;2,0828;98,86621315
Kurt Rambis;80; 6-8;213;2,032;96,59863946
Kurt Thomas;81; 6-9;230;2,0574;104,30839
Kwame Brown;83; 6-11;270;2,1082;122,4489796
Kyle Korver;79; 6-7;210;2,0066;95,23809524
Kyle Lowry;72; 6-0;175;1,8288;79,36507937
Kyle Macy;75; 6-3;175;1,905;79,36507937
Kyle O'Quinn;82; 6-10;240;2,0828;108,8435374
Kyle Singler;80; 6-8;230;2,032;104,30839
Kyle Weaver;78; 6-6;201;1,9812;91,15646259
Kyrie Irving;74; 6-2;180;1,8796;81,63265306
Kyrylo Fesenko;85; 7-1;288;2,159;130,6122449
LaBradford Smith;75; 6-3;200;1,905;90,70294785
LaMarcus Aldridge;83; 6-11;240;2,1082;108,8435374
LaMark Baker;73; 6-1;175;1,8542;79,36507937
LaPhonso Ellis;80; 6-8;240;2,032;108,8435374
LaRue Martin;83; 6-11;208;2,1082;94,33106576
LaSalle Thompson;82; 6-10;245;2,0828;111,1111111
Lamar Green;79; 6-7;210;2,0066;95,23809524
Lamar Odom;82; 6-10;220;2,0828;99,77324263
Lamond Murray;79; 6-7;236;2,0066;107,0294785
Lamont Strothers;76; 6-4;190;1,9304;86,16780045
Lanard Copeland;78; 6-6;190;1,9812;86,16780045
Lancaster Gordon;75; 6-3;185;1,905;83,90022676
Lance Allred;83; 6-11;250;2,1082;113,3786848
Lance Blanks;76; 6-4;190;1,9304;86,16780045
Lance Stephenson;77; 6-5;210;1,9558;95,23809524
Lance Thomas;80; 6-8;225;2,032;102,0408163
Landry Fields;79; 6-7;210;2,0066;95,23809524
Lari Ketner;81; 6-9;277;2,0574;125,6235828
Laron Profit;77; 6-5;204;1,9558;92,5170068
Larry Bird;81; 6-9;220;2,0574;99,77324263
Larry Cannon;76; 6-4;195;1,9304;88,43537415
Larry Comley;77; 6-5;210;1,9558;95,23809524
Larry Costello;73; 6-1;186;1,8542;84,3537415
Larry Demic;81; 6-9;225;2,0574;102,0408163
Larry Drew;73; 6-1;170;1,8542;77,09750567
Larry Fogle;77; 6-5;205;1,9558;92,97052154
Larry Foust;81; 6-9;215;2,0574;97,50566893
Larry Friend;76; 6-4;185;1,9304;83,90022676
Larry Hennessy;75; 6-3;185;1,905;83,90022676
Larry Hughes;77; 6-5;184;1,9558;83,44671202
Larry Johnson;75; 6-3;205;1,905;92,97052154
Larry Johnson;78; 6-6;250;1,9812;113,3786848
Larry Jones;74; 6-2;180;1,8796;81,63265306
Larry Kenon;81; 6-9;205;2,0574;92,97052154
Larry Krystkowiak;81; 6-9;220;2,0574;99,77324263
Larry McNeill;81; 6-9;195;2,0574;88,43537415
Larry Micheaux;81; 6-9;220;2,0574;99,77324263
Larry Mikan;79; 6-7;210;2,0066;95,23809524
Larry Moffett;80; 6-8;210;2,032;95,23809524
Larry Nance;82; 6-10;205;2,0828;92,97052154
Larry Owens;79; 6-7;210;2,0066;95,23809524
Larry Robinson;75; 6-3;180;1,905;81,63265306
Larry Sanders;83; 6-11;235;2,1082;106,5759637
Larry Siegfried;75; 6-3;190;1,905;86,16780045
Larry Smith;80; 6-8;215;2,032;97,50566893
Larry Spriggs;79; 6-7;230;2,0066;104,30839
Larry Staverman;79; 6-7;205;2,0066;92,97052154
Larry Steele;77; 6-5;180;1,9558;81,63265306
Larry Stewart;80; 6-8;220;2,032;99,77324263
Larry Sykes;81; 6-9;255;2,0574;115,6462585
Larry Wright;73; 6-1;160;1,8542;72,56235828
Lars Hansen;82; 6-10;225;2,0828;102,0408163
Latrell Sprewell;77; 6-5;190;1,9558;86,16780045
Lavor Postell;77; 6-5;215;1,9558;97,50566893
Lavoy Allen;81; 6-9;225;2,0574;102,0408163
Lawrence Boston;80; 6-8;225;2,032;102,0408163
Lawrence Funderburke;81; 6-9;230;2,0574;104,30839
Lawrence Moten;77; 6-5;185;1,9558;83,90022676
Lawrence Roberts;81; 6-9;240;2,0574;108,8435374
Lazar Hayward;78; 6-6;225;1,9812;102,0408163
Lazaro Borrell;80; 6-8;220;2,032;99,77324263
LeBron James;80; 6-8;240;2,032;108,8435374
LeRon Ellis;81; 6-9;225;2,0574;102,0408163
Leandro Barbosa;75; 6-3;176;1,905;79,8185941
Ledell Eackles;77; 6-5;220;1,9558;99,77324263
Lee Johnson;83; 6-11;205;2,1082;92,97052154
Lee Mayberry;73; 6-1;172;1,8542;78,00453515
Lee Nailon;81; 6-9;238;2,0574;107,9365079
Lee Shaffer;79; 6-7;220;2,0066;99,77324263
Lee Winfield;74; 6-2;174;1,8796;78,91156463
Len Chappell;80; 6-8;240;2,032;108,8435374
Len Elmore;81; 6-9;220;2,0574;99,77324263
Len Kosmalski;84; 7-0;245;2,1336;111,1111111
Lennie Rosenbluth;76; 6-4;190;1,9304;86,16780045
Lenny Wilkens;73; 6-1;180;1,8542;81,63265306
Leo Rautins;80; 6-8;215;2,032;97,50566893
Leon Benbow;76; 6-4;185;1,9304;83,90022676
Leon Douglas;82; 6-10;230;2,0828;104,30839
Leon Powe;80; 6-8;240;2,032;108,8435374
Leon Smith;82; 6-10;235;2,0828;106,5759637
Leon Wood;75; 6-3;185;1,905;83,90022676
Leonard Gray;80; 6-8;240;2,032;108,8435374
Leonard Taylor;80; 6-8;220;2,032;99,77324263
Leroy Combs;80; 6-8;210;2,032;95,23809524
Leroy Ellis;82; 6-10;210;2,0828;95,23809524
Les Hunter;79; 6-7;210;2,0066;95,23809524
Les Jepsen;84; 7-0;237;2,1336;107,4829932
Lester Conner;76; 6-4;180;1,9304;81,63265306
Lester Hudson;75; 6-3;190;1,905;86,16780045
Levi Fontaine;76; 6-4;190;1,9304;86,16780045
Lew Hitch;80; 6-8;200;2,032;90,70294785
Lewis Brown;83; 6-11;225;2,1082;102,0408163
Lewis Lloyd;78; 6-6;205;1,9812;92,97052154
Linas Kleiza;80; 6-8;245;2,032;111,1111111
Lindsay Hairston;79; 6-7;180;2,0066;81,63265306
Lindsey Hunter;74; 6-2;170;1,8796;77,09750567
Linton Johnson;80; 6-8;205;2,032;92,97052154
Linton Townes;79; 6-7;190;2,0066;86,16780045
Lionel Chalmers;72; 6-0;180;1,8288;81,63265306
Lionel Hollins;75; 6-3;185;1,905;83,90022676
Lionel Simmons;79; 6-7;210;2,0066;95,23809524
Litterial Green;73; 6-1;185;1,8542;83,90022676
Lloyd Daniels;79; 6-7;205;2,0066;92,97052154
Lloyd Neal;79; 6-7;225;2,0066;102,0408163
Lloyd Walton;72; 6-0;160;1,8288;72,56235828
Logan Vander Velden;80; 6-8;215;2,032;97,50566893
Lonnie Shelton;80; 6-8;240;2,032;108,8435374
Lonny Baxter;80; 6-8;260;2,032;117,9138322
Loren Meyer;82; 6-10;257;2,0828;116,553288
Loren Woods;85; 7-1;245;2,159;111,1111111
Lorenzen Wright;83; 6-11;225;2,1082;102,0408163
Lorenzo Brown;77; 6-5;189;1,9558;85,71428571
Lorenzo Charles;79; 6-7;225;2,0066;102,0408163
Lorenzo Romar;73; 6-1;175;1,8542;79,36507937
Lorenzo Williams;81; 6-9;200;2,0574;90,70294785
Lou Hudson;77; 6-5;210;1,9558;95,23809524
Lou Roe;79; 6-7;220;2,0066;99,77324263
Lou Tsioropoulos;77; 6-5;190;1,9558;86,16780045
Louie Dampier;72; 6-0;170;1,8288;77,09750567
Louie Nelson;75; 6-3;190;1,905;86,16780045
Louis Amundson;81; 6-9;225;2,0574;102,0408163
Louis Orr;80; 6-8;175;2,032;79,36507937
Louis Williams;74; 6-2;175;1,8796;79,36507937
Lowes Moore;73; 6-1;170;1,8542;77,09750567
Loy Petersen;77; 6-5;205;1,9558;92,97052154
Loy Vaught;81; 6-9;230;2,0574;104,30839
Luc Longley;86; 7-2;265;2,1844;120,1814059
Luc Mbah a Moute;80; 6-8;230;2,032;104,30839
Lucious Harris;77; 6-5;190;1,9558;86,16780045
Lucius Allen;74; 6-2;175;1,8796;79,36507937
Luigi Datome;80; 6-8;215;2,032;97,50566893
Luis Flores;74; 6-2;200;1,8796;90,70294785
Luis Scola;81; 6-9;245;2,0574;111,1111111
Luke Babbitt;81; 6-9;225;2,0574;102,0408163
Luke Harangody;80; 6-8;246;2,032;111,5646259
Luke Jackson;79; 6-7;215;2,0066;97,50566893
Luke Jackson;81; 6-9;240;2,0574;108,8435374
Luke Ridnour;74; 6-2;175;1,8796;79,36507937
Luke Schenscher;85; 7-1;255;2,159;115,6462585
Luke Walton;80; 6-8;235;2,032;106,5759637
Luke Witte;84; 7-0;235;2,1336;106,5759637
Luke Zeller;83; 6-11;245;2,1082;111,1111111
Luol Deng;80; 6-8;220;2,032;99,77324263
Luther Green;79; 6-7;190;2,0066;86,16780045
Luther Head;75; 6-3;185;1,905;83,90022676
Luther Rackley;82; 6-10;220;2,0828;99,77324263
Luther Wright;86; 7-2;270;2,1844;122,4489796
Lynn Greer;74; 6-2;175;1,8796;79,36507937
M.L. Carr;78; 6-6;205;1,9812;92,97052154
Maalik Wayns;74; 6-2;200;1,8796;90,70294785
Maceo Baston;81; 6-9;215;2,0574;97,50566893
Maciej Lampe;83; 6-11;275;2,1082;124,7165533
Mack Calvin;72; 6-0;165;1,8288;74,82993197
Magic Johnson;80; 6-8;215;2,032;97,50566893
Mahdi Abdul-Rahman;74; 6-2;185;1,8796;83,90022676
Mahmoud Abdul-Rauf;73; 6-1;162;1,8542;73,46938776
Major Jones;81; 6-9;225;2,0574;102,0408163
Makhtar N'Diaye;80; 6-8;245;2,032;111,1111111
Mal Graham;73; 6-1;185;1,8542;83,90022676
Malcolm Lee;77; 6-5;200;1,9558;90,70294785
Malcolm Mackey;81; 6-9;248;2,0574;112,4716553
Malcolm Thomas;81; 6-9;225;2,0574;102,0408163
Malik Allen;82; 6-10;255;2,0828;115,6462585
Malik Hairston;78; 6-6;220;1,9812;99,77324263
Malik Rose;79; 6-7;250;2,0066;113,3786848
Malik Sealy;80; 6-8;190;2,032;86,16780045
Mamadou N'Diaye;84; 7-0;255;2,1336;115,6462585
Manny Harris;77; 6-5;185;1,9558;83,90022676
Manny Leaks;80; 6-8;225;2,032;102,0408163
Manu Ginobili;78; 6-6;210;1,9812;95,23809524
Manute Bol;91; 7-7;200;2,3114;90,70294785
MarShon Brooks;77; 6-5;200;1,9558;90,70294785
Marc Gasol;85; 7-1;265;2,159;120,1814059
Marc Iavaroni;80; 6-8;210;2,032;95,23809524
Marc Jackson;82; 6-10;270;2,0828;122,4489796
Marcin Gortat;83; 6-11;240;2,1082;108,8435374
Marco Belinelli;77; 6-5;192;1,9558;87,07482993
Marcus Banks;74; 6-2;200;1,8796;90,70294785
Marcus Brown;75; 6-3;185;1,905;83,90022676
Marcus Camby;83; 6-11;220;2,1082;99,77324263
Marcus Cousin;83; 6-11;245;2,1082;111,1111111
Marcus Fizer;81; 6-9;262;2,0574;118,8208617
Marcus Haislip;82; 6-10;230;2,0828;104,30839
Marcus Landry;79; 6-7;230;2,0066;104,30839
Marcus Liberty;80; 6-8;205;2,032;92,97052154
Marcus Morris;81; 6-9;235;2,0574;106,5759637
Marcus Thornton;76; 6-4;205;1,9304;92,97052154
Marcus Vinicius;80; 6-8;225;2,032;102,0408163
Marcus Webb;81; 6-9;255;2,0574;115,6462585
Marcus Williams;75; 6-3;205;1,905;92,97052154
Marcus Williams;79; 6-7;205;2,0066;92,97052154
Mardy Collins;78; 6-6;220;1,9812;99,77324263
Mario Bennett;78; 6-6;235;1,9812;106,5759637
Mario Chalmers;73; 6-1;190;1,8542;86,16780045
Mario Elie;77; 6-5;210;1,9558;95,23809524
Mario Kasun;85; 7-1;260;2,159;117,9138322
Mario West;77; 6-5;210;1,9558;95,23809524
Mark Acres;83; 6-11;220;2,1082;99,77324263
Mark Aguirre;78; 6-6;232;1,9812;105,2154195
Mark Alarie;80; 6-8;217;2,032;98,41269841
Mark Blount;84; 7-0;230;2,1336;104,30839
Mark Bradtke;82; 6-10;265;2,0828;120,1814059
Mark Bryant;81; 6-9;245;2,0574;111,1111111
Mark Crow;79; 6-7;210;2,0066;95,23809524
Mark Davis;78; 6-6;195;1,9812;88,43537415
Mark Davis;79; 6-7;210;2,0066;95,23809524
Mark Eaton;88; 7-4;275;2,2352;124,7165533
Mark Hendrickson;81; 6-9;220;2,0574;99,77324263
Mark Jackson;73; 6-1;180;1,8542;81,63265306
Mark Jones;73; 6-1;175;1,8542;79,36507937
Mark Jones;78; 6-6;215;1,9812;97,50566893
Mark Landsberger;80; 6-8;215;2,032;97,50566893
Mark Macon;76; 6-4;185;1,9304;83,90022676
Mark Madsen;81; 6-9;240;2,0574;108,8435374
Mark McNamara;83; 6-11;235;2,1082;106,5759637
Mark Minor;78; 6-6;215;1,9812;97,50566893
Mark Olberding;80; 6-8;225;2,032;102,0408163
Mark Pope;82; 6-10;235;2,0828;106,5759637
Mark Price;72; 6-0;170;1,8288;77,09750567
Mark Radford;76; 6-4;190;1,9304;86,16780045
Mark Randall;80; 6-8;235;2,032;106,5759637
Mark Sibley;74; 6-2;175;1,8796;79,36507937
Mark Strickland;81; 6-9;210;2,0574;95,23809524
Mark Wade;71; 5-11;160;1,8034;72,56235828
Mark West;82; 6-10;230;2,0828;104,30839
Markieff Morris;82; 6-10;245;2,0828;111,1111111
Marko Jaric;79; 6-7;198;2,0066;89,79591837
Marko Milic;78; 6-6;235;1,9812;106,5759637
Marlon Garnett;74; 6-2;186;1,8796;84,3537415
Marlon Maxey;80; 6-8;250;2,032;113,3786848
Marlon Redmond;78; 6-6;188;1,9812;85,26077098
Marques Bragg;80; 6-8;230;2,032;104,30839
Marques Johnson;79; 6-7;218;2,0066;98,86621315
Marquis Daniels;78; 6-6;200;1,9812;90,70294785
Marquis Teague;74; 6-2;189;1,8796;85,71428571
Marreese Speights;82; 6-10;245;2,0828;111,1111111
Marshall Rogers;73; 6-1;190;1,8542;86,16780045
Martell Webster;79; 6-7;210;2,0066;95,23809524
Martin Lewis;77; 6-5;210;1,9558;95,23809524
Martin Muursepp;81; 6-9;235;2,0574;106,5759637
Martin Nessley;86; 7-2;260;2,1844;117,9138322
Marty Byrnes;79; 6-7;215;2,0066;97,50566893
Marty Conlon;82; 6-10;224;2,0828;101,5873016
Martynas Andriuskevicius;86; 7-2;240;2,1844;108,8435374
Marv Roberts;80; 6-8;200;2,032;90,70294785
Marv Winkler;73; 6-1;164;1,8542;74,37641723
Marvin Barnes;80; 6-8;210;2,032;95,23809524
Marvin Webster;85; 7-1;225;2,159;102,0408163
Marvin Williams;81; 6-9;230;2,0574;104,30839
Mason Plumlee;82; 6-10;235;2,0828;106,5759637
Mateen Cleaves;74; 6-2;205;1,8796;92,97052154
Matt Barnes;79; 6-7;235;2,0066;106,5759637
Matt Bonner;82; 6-10;240;2,0828;108,8435374
Matt Bullard;82; 6-10;215;2,0828;97,50566893
Matt Carroll;78; 6-6;212;1,9812;96,14512472
Matt Fish;83; 6-11;235;2,1082;106,5759637
Matt Freije;82; 6-10;240;2,0828;108,8435374
Matt Geiger;84; 7-0;243;2,1336;110,2040816
Matt Guokas;77; 6-5;175;1,9558;79,36507937
Matt Harpring;79; 6-7;231;2,0066;104,7619048
Matt Maloney;75; 6-3;192;1,905;87,07482993
Matt Othick;74; 6-2;165;1,8796;74,82993197
Matt Steigenga;79; 6-7;225;2,0066;102,0408163
Matt Walsh;78; 6-6;205;1,9812;92,97052154
Matt Wenstrom;85; 7-1;250;2,159;113,3786848
Matthew Dellavedova;76; 6-4;200;1,9304;90,70294785
Maurice Ager;77; 6-5;202;1,9558;91,60997732
Maurice Baker;73; 6-1;175;1,8542;79,36507937
Maurice Carter;77; 6-5;210;1,9558;95,23809524
Maurice Cheeks;73; 6-1;180;1,8542;81,63265306
Maurice Evans;77; 6-5;220;1,9558;99,77324263
Maurice Harkless;80; 6-8;208;2,032;94,33106576
Maurice Lucas;81; 6-9;215;2,0574;97,50566893
Maurice Martin;78; 6-6;200;1,9812;90,70294785
Maurice Stokes;79; 6-7;232;2,0066;105,2154195
Maurice Taylor;81; 6-9;260;2,0574;117,9138322
Maury King;74; 6-2;195;1,8796;88,43537415
Max Zaslofsky;74; 6-2;170;1,8796;77,09750567
McCoy Ingram;80; 6-8;210;2,032;95,23809524
McCoy McLemore;79; 6-7;230;2,0066;104,30839
McKinley Singleton;77; 6-5;175;1,9558;79,36507937
Med Park;74; 6-2;205;1,8796;92,97052154
Mehmet Okur;83; 6-11;249;2,1082;112,9251701
Mel Bennett;79; 6-7;200;2,0066;90,70294785
Mel Counts;84; 7-0;230;2,1336;104,30839
Mel Daniels;81; 6-9;220;2,0574;99,77324263
Mel Davis;78; 6-6;220;1,9812;99,77324263
Mel Gibson;75; 6-3;180;1,905;81,63265306
Mel Hutchins;78; 6-6;200;1,9812;90,70294785
Mel McCants;80; 6-8;240;2,032;108,8435374
Mel Nowell;74; 6-2;170;1,8796;77,09750567
Mel Peterson;76; 6-4;185;1,9304;83,90022676
Melvin Booker;73; 6-1;185;1,8542;83,90022676
Melvin Ely;82; 6-10;260;2,0828;117,9138322
Melvin Newbern;76; 6-4;200;1,9304;90,70294785
Melvin Sanders;77; 6-5;210;1,9558;95,23809524
Melvin Turpin;83; 6-11;240;2,1082;108,8435374
Mengke Bateer;83; 6-11;290;2,1082;131,5192744
Metta World Peace;78; 6-6;244;1,9812;110,6575964
Meyers Leonard;85; 7-1;245;2,159;111,1111111
Michael Adams;70; 5-10;162;1,778;73,46938776
Michael Anderson;71; 5-11;184;1,8034;83,44671202
Michael Ansley;79; 6-7;225;2,0066;102,0408163
Michael Beasley;81; 6-9;235;2,0574;106,5759637
Michael Bradley;82; 6-10;245;2,0828;111,1111111
Michael Brooks;79; 6-7;220;2,0066;99,77324263
Michael Cage;81; 6-9;224;2,0574;101,5873016
Michael Carter-Williams;78; 6-6;185;1,9812;83,90022676
Michael Cooper;77; 6-5;170;1,9558;77,09750567
Michael Curry;77; 6-5;210;1,9558;95,23809524
Michael Dickerson;77; 6-5;190;1,9558;86,16780045
Michael Doleac;83; 6-11;262;2,1082;118,8208617
Michael Finley;79; 6-7;215;2,0066;97,50566893
Michael Hawkins;72; 6-0;178;1,8288;80,72562358
Michael Jackson;74; 6-2;183;1,8796;82,99319728
Michael Jordan;78; 6-6;195;1,9812;88,43537415
Michael Kidd-Gilchrist;79; 6-7;232;2,0066;105,2154195
Michael McDonald;82; 6-10;232;2,0828;105,2154195
Michael Olowokandi;84; 7-0;269;2,1336;121,9954649
Michael Phelps;76; 6-4;180;1,9304;81,63265306
Michael Redd;78; 6-6;220;1,9812;99,77324263
Michael Ruffin;81; 6-9;246;2,0574;111,5646259
Michael Smith;80; 6-8;230;2,032;104,30839
Michael Smith;82; 6-10;225;2,0828;102,0408163
Michael Stewart;82; 6-10;230;2,0828;104,30839
Michael Wiley;81; 6-9;200;2,0574;90,70294785
Michael Wilson;76; 6-4;175;1,9304;79,36507937
Michael Young;79; 6-7;220;2,0066;99,77324263
Micheal Ray Richardson;77; 6-5;189;1,9558;85,71428571
Micheal Williams;74; 6-2;175;1,8796;79,36507937
Mickael Gelabale;79; 6-7;215;2,0066;97,50566893
Mickael Pietrus;78; 6-6;215;1,9812;97,50566893
Mickell Gladness;83; 6-11;220;2,1082;99,77324263
Mickey Davis;79; 6-7;195;2,0066;88,43537415
Mickey Dillard;75; 6-3;170;1,905;77,09750567
Mickey Johnson;82; 6-10;190;2,0828;86,16780045
Mike Bantom;81; 6-9;200;2,0574;90,70294785
Mike Barr;75; 6-3;180;1,905;81,63265306
Mike Batiste;80; 6-8;225;2,032;102,0408163
Mike Bibby;73; 6-1;190;1,8542;86,16780045
Mike Bratz;74; 6-2;185;1,8796;83,90022676
Mike Brittain;84; 7-0;235;2,1336;106,5759637
Mike Brown;81; 6-9;257;2,0574;116,553288
Mike Champion;82; 6-10;230;2,0828;104,30839
Mike Conley;73; 6-1;180;1,8542;81,63265306
Mike D'Antoni;75; 6-3;185;1,905;83,90022676
Mike Davis;75; 6-3;185;1,905;83,90022676
Mike Davis;82; 6-10;230;2,0828;104,30839
Mike Dunleavy;75; 6-3;180;1,905;81,63265306
Mike Dunleavy;81; 6-9;220;2,0574;99,77324263
Mike Evans;73; 6-1;170;1,8542;77,09750567
Mike Farmer;79; 6-7;210;2,0066;95,23809524
Mike Flynn;74; 6-2;180;1,8796;81,63265306
Mike Gale;76; 6-4;185;1,9304;83,90022676
Mike Gibson;82; 6-10;205;2,0828;92,97052154
Mike Glenn;74; 6-2;175;1,8796;79,36507937
Mike Gminski;83; 6-11;250;2,1082;113,3786848
Mike Green;82; 6-10;200;2,0828;90,70294785
Mike Hall;80; 6-8;230;2,032;104,30839
Mike Harper;82; 6-10;195;2,0828;88,43537415
Mike Harris;78; 6-6;240;1,9812;108,8435374
Mike Higgins;81; 6-9;220;2,0574;99,77324263
Mike Holton;76; 6-4;185;1,9304;83,90022676
Mike Iuzzolino;70; 5-10;175;1,778;79,36507937
Mike James;74; 6-2;188;1,8796;85,26077098
Mike Kearns;74; 6-2;178;1,8796;80,72562358
Mike Lynn;79; 6-7;215;2,0066;97,50566893
Mike Macaluso;77; 6-5;210;1,9558;95,23809524
Mike McGee;77; 6-5;190;1,9558;86,16780045
Mike Miller;80; 6-8;218;2,032;98,86621315
Mike Mitchell;79; 6-7;215;2,0066;97,50566893
Mike Morrison;76; 6-4;195;1,9304;88,43537415
Mike Muscala;83; 6-11;239;2,1082;108,3900227
Mike Newlin;76; 6-4;200;1,9304;90,70294785
Mike Niles;78; 6-6;225;1,9812;102,0408163
Mike O'Koren;79; 6-7;207;2,0066;93,87755102
Mike Penberthy;75; 6-3;185;1,905;83,90022676
Mike Peplowski;82; 6-10;270;2,0828;122,4489796
Mike Price;75; 6-3;200;1,905;90,70294785
Mike Ratliff;82; 6-10;230;2,0828;104,30839
Mike Riordan;76; 6-4;200;1,9304;90,70294785
Mike Sanders;78; 6-6;210;1,9812;95,23809524
Mike Scott;80; 6-8;237;2,032;107,4829932
Mike Silliman;78; 6-6;225;1,9812;102,0408163
Mike Smith;80; 6-8;195;2,032;88,43537415
Mike Smrek;84; 7-0;250;2,1336;113,3786848
Mike Sojourner;81; 6-9;225;2,0574;102,0408163
Mike Sweetney;80; 6-8;275;2,032;124,7165533
Mike Taylor;74; 6-2;165;1,8796;74,82993197
Mike Wilks;70; 5-10;185;1,778;83,90022676
Mike Williams;80; 6-8;255;2,032;115,6462585
Mike Woodson;77; 6-5;195;1,9558;88,43537415
Mikki Moore;83; 6-11;225;2,1082;102,0408163
Mile Ilic;85; 7-1;230;2,159;104,30839
Miles Plumlee;82; 6-10;245;2,0828;111,1111111
Miles Simon;75; 6-3;202;1,905;91,60997732
Milos Babic;84; 7-0;240;2,1336;108,8435374
Milt Palacio;75; 6-3;195;1,905;88,43537415
Milt Wagner;77; 6-5;185;1,9558;83,90022676
Milt Williams;74; 6-2;182;1,8796;82,53968254
Miroslav Raduljica;84; 7-0;250;2,1336;113,3786848
Mirsad Turkcan;81; 6-9;236;2,0574;107,0294785
Mirza Teletovic;80; 6-8;235;2,032;106,5759637
Mitch Kupchak;81; 6-9;230;2,0574;104,30839
Mitch Richmond;77; 6-5;215;1,9558;97,50566893
Mitchell Butler;77; 6-5;210;1,9558;95,23809524
Mitchell Wiggins;76; 6-4;185;1,9304;83,90022676
Mo Howard;74; 6-2;170;1,8796;77,09750567
Mo Layton;73; 6-1;180;1,8542;81,63265306
Mo Williams;73; 6-1;185;1,8542;83,90022676
Moe Barr;76; 6-4;195;1,9304;88,43537415
Monk Meineke;79; 6-7;208;2,0066;94,33106576
Monta Ellis;75; 6-3;175;1,905;79,36507937
Monte Towe;67; 5-7;150;1,7018;68,02721088
Monti Davis;79; 6-7;205;2,0066;92,97052154
Monty Williams;80; 6-8;225;2,032;102,0408163
Moochie Norris;73; 6-1;175;1,8542;79,36507937
Mookie Blaylock;72; 6-0;180;1,8288;81,63265306
Morlon Wiley;76; 6-4;185;1,9304;83,90022676
Morris Almond;78; 6-6;225;1,9812;102,0408163
Morris Peterson;79; 6-7;218;2,0066;98,86621315
Moses Malone;82; 6-10;215;2,0828;97,50566893
Mouhamed Sene;83; 6-11;230;2,1082;104,30839
Muggsy Bogues;63; 5-3;136;1,6002;61,67800454
Mustafa Shakur;75; 6-3;190;1,905;86,16780045
Mychal Thompson;82; 6-10;226;2,0828;102,4943311
Mychel Thompson;78; 6-6;211;1,9812;95,69160998
